Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,GRDP,Factor_Income
서울특별시 은평구,D,5,159,5,158,4,162,4,160,4,157,2,147,57807,16554
서울특별시 은평구,E,11,204,13,253,11,237,12,270,12,259,11,262,,
서울특별시 은평구,F,419,3819,394,3768,432,4000,340,4189,423,4927,442,4174,429309,403848
서울특별시 은평구,G,2214,11994,2103,11692,2212,11995,1840,9497,1919,10013,1898,9514,445171,405787
서울특별시 은평구,H,107,3596,101,3780,114,3747,93,3860,103,4193,98,3649,166630,91281
서울특별시 은평구,I,1989,8704,1970,9076,2213,10001,1641,7244,1754,7754,1876,8443,211824,194977
서울특별시 은평구,J,98,969,102,851,100,948,109,1162,137,856,184,1064,157786,109110
서울특별시 은평구,K,152,2419,151,2343,142,2016,138,1925,137,2075,136,1942,143112,127954
서울특별시 은평구,L,499,2290,488,2187,536,2284,467,2018,535,2387,532,2125,1114172,518470
서울특별시 은평구,M,232,1798,245,2020,266,2276,251,2202,322,2645,336,2665,,
서울특별시 은평구,N,141,1657,149,1638,159,1545,137,1406,181,2011,177,1764,293795,265725
서울특별시 은평구,P,724,6089,721,6130,735,6328,652,5941,663,6010,668,5782,492085,420323
서울특별시 은평구,Q,1125,12338,1144,13068,1158,15538,1157,15987,1199,17295,1224,18392,688263,619781
서울특별시 은평구,R,309,1600,297,1654,330,1902,215,1377,240,1356,269,1515,210945,166520
서울특별시 은평구,S,926,3413,917,3414,1022,3524,831,2922,803,3028,788,2803,,
서울특별시 서대문구,A,1,1,1,3,1,1,0,0,0,0,0,0,57248,47396
서울특별시 서대문구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 서대문구,C,389,2230,338,2029,349,2108,324,1848,284,1531,300,1560,81604,57492
서울특별시 서대문구,D,2,51,4,69,3,52,2,51,2,49,1,46,45210,13048
서울특별시 서대문구,E,11,181,9,182,9,188,10,203,6,144,9,205,,
서울특별시 서대문구,F,350,4402,323,3653,337,3851,237,3227,214,3432,246,4797,375385,352465
서울특별시 서대문구,G,1754,11578,1628,11028,1782,10594,1561,9383,1461,9659,1423,8808,753877,687118
서울특별시 서대문구,H,128,3428,131,3133,135,2701,118,2404,119,2252,102,2107,130346,76164
서울특별시 서대문구,I,2363,11204,2224,11428,2412,11513,1789,8368,1853,8665,1890,9272,255224,231544
서울특별시 서대문구,J,257,2549,253,2447,291,3058,312,2879,327,3343,426,3754,346723,250727
서울특별시 서대문구,K,195,4778,166,4052,171,5557,165,3670,160,3679,160,3510,720799,634219
서울특별시 서대문구,L,405,1926,393,1918,438,2032,409,1953,340,1589,344,1464,1167927,536143
서울특별시 서대문구,M,380,5692,390,5870,428,6349,415,6401,459,7037,529,8150,,
서울특별시 서대문구,N,301,6831,299,6549,306,6428,250,5161,231,5510,255,5291,1019169,933757
서울특별시 서대문구,P,641,16685,597,16319,613,18143,560,17674,516,16238,556,17483,1393898,1194465
서울특별시 서대문구,Q,723,14348,720,15065,721,16189,733,15389,723,14321,764,15911,957245,868064
서울특별시 서대문구,R,271,1338,259,1384,280,1374,209,979,206,1048,221,1201,178693,137853
서울특별시 서대문구,S,879,3485,834,3383,859,3279,757,3046,684,2986,738,3302,,
서울특별시 마포구,A,0,0,1,1,0,0,1,1,0,0,2,4,750,629
서울특별시 마포구,B,0,0,0,0,0,0,0,0,1,6,0,0,43,34
서울특별시 마포구,C,797,4409,806,4689,772,4616,656,3888,694,4059,702,3734,284942,212042
서울특별시 마포구,D,8,425,11,464,10,484,10,474,9,448,9,500,68968,20146
서울특별시 마포구,E,11,210,13,250,15,253,19,268,22,294,24,318,,
서울특별시 마포구,F,858,15784,790,14433,771,13410,687,15003,757,16114,732,15652,460034,431635
서울특별시 마포구,G,4637,30246,4546,31328,4757,31291,4402,28772,4343,30285,4219,30128,2452371,2235192
서울특별시 마포구,H,697,9628,680,10066,657,8610,639,8709,687,8417,665,7968,837136,561630
서울특별시 마포구,I,5375,24938,5386,27124,5616,25506,4132,18767,4178,19336,4435,21283,554793,504319
서울특별시 마포구,J,1973,34695,1923,37674,1827,36724,1946,39334,2476,46847,2863,48948,6941928,4956526
서울특별시 마포구,K,457,11280,459,10705,450,10015,456,10014,510,11533,532,10055,714396,651152
서울특별시 마포구,L,861,4586,938,4849,1006,4790,993,4316,864,4810,908,4920,1805625,870828
서울특별시 마포구,M,1885,18927,1989,19728,2003,19636,2073,20229,2397,22399,2416,22185,,
서울특별시 마포구,N,878,36149,872,34220,889,35099,823,30572,909,31440,892,30644,3319091,2942478
서울특별시 마포구,P,1005,12365,1026,12426,1087,11872,1009,11215,938,12302,979,11875,973539,827225
서울특별시 마포구,Q,1115,10338,1105,10614,1151,11096,1145,11783,1148,12207,1178,12771,578679,519540
서울특별시 마포구,R,552,3405,601,3958,578,3644,466,2424,481,2713,497,2771,573088,416155
서울특별시 마포구,S,1412,7387,1425,7783,1404,7825,1120,7235,1117,6948,1153,7211,,
서울특별시 양천구,A,0,0,0,0,0,0,1,26,1,2,0,0,268,220
서울특별시 양천구,B,0,0,0,0,0,0,0,0,0,0,0,0,75,60
서울특별시 양천구,C,716,4579,672,4235,626,3863,555,3363,596,3301,616,3316,192162,143374
서울특별시 양천구,D,2,270,2,266,2,268,2,266,2,282,3,289,62818,18125
서울특별시 양천구,E,18,304,17,301,18,306,20,387,19,322,19,324,,
서울특별시 양천구,F,725,9598,711,10290,708,8974,462,8251,555,8409,584,8237,267559,251555
서울특별시 양천구,G,2795,13910,2589,14119,2724,14187,2224,11721,2379,12652,2584,12958,682784,622360
서울특별시 양천구,H,342,8376,350,8094,356,7624,331,5944,354,6926,370,5730,315276,184008
서울특별시 양천구,I,1984,9207,1935,9599,2070,10096,1531,7543,1680,8399,1804,9152,223356,207802
서울특별시 양천구,J,224,4665,214,4774,212,4593,204,4514,258,5161,318,4575,744084,489672
서울특별시 양천구,K,189,2466,184,2522,177,2223,167,2102,167,2446,178,2715,310065,283916
서울특별시 양천구,L,526,2835,491,2737,568,2865,532,2766,552,2835,569,2629,1552154,718286
서울특별시 양천구,M,543,2743,556,2867,550,2866,530,2919,605,3079,582,2678,,
서울특별시 양천구,N,242,4648,246,5245,260,4679,222,4327,278,4792,268,5820,454684,390478
서울특별시 양천구,P,1289,9590,1184,9456,1226,9846,1141,8686,1090,8900,1170,9816,676346,574013
서울특별시 양천구,Q,1166,12939,1156,14016,1181,15245,1151,15592,1157,16238,1203,17489,687628,621717
서울특별시 양천구,R,412,2385,406,2364,449,2575,272,1557,286,1812,318,1933,276463,216044
서울특별시 양천구,S,1027,4197,1017,4300,1016,4219,851,3655,809,3888,842,3731,,
